Chars	Matches	Time
1000	8759	10
2000	7696	9
3000	13666	24
4000	14437	30
5000	13374	31
6000	22978	31
7000	13353	31
8000	21619	28
9000	21915	27
10000	13353	27
11000	21915	32
12000	13374	32
13000	16027	30
14000	11994	34
15000	21894	33
16000	15901	33
17000	20556	32
18000	16027	34
19000	19472	34
20000	13479	33
21000	19472	31
22000	14542	31
23000	22020	30
24000	16027	29
25000	20451	29
26000	21915	30
27000	20451	29
28000	21619	30
29000	21619	29
30000	21894	30
31000	20451	30
32000	20577	31
33000	19554	30
34000	13374	31
35000	15626	28
36000	21915	28
37000	21915	25
38000	21619	26
39000	20451	29
40000	19407	25
41000	14563	28
42000	16027	29
43000	17943	30
44000	13479	27
45000	13332	30
46000	12015	30
47000	19407	29
48000	13479	28
49000	21894	32
50000	11057	31
51000	19386	29
52000	17090	30
53000	13374	31
54000	8801	28
55000	13372	28
56000	13397	60
57000	14525	61
58000	15462	66
59000	14525	60
60000	13483	61
61000	15462	60
62000	15569	54
63000	14525	56
64000	14420	59
65000	14420	62
66000	15462	60
67000	15527	51
68000	14525	55
69000	13483	56
70000	14525	59
71000	13462	54
72000	15462	61
73000	15462	54
74000	15462	53
75000	13397	53
76000	13462	54
77000	14525	57
78000	14525	56
79000	15462	63
80000	15462	53
81000	15462	52
82000	14525	52
83000	14420	52
84000	14525	55
85000	14525	54
86000	14420	57
87000	16590	61
88000	11439	56
89000	13483	53
90000	13504	57
91000	13504	58
92000	15462	59
93000	15462	54
94000	15462	56
95000	12355	53
96000	14525	58
97000	14525	54
98000	14525	53
99000	13483	55
100000	15462	56
101000	15462	54
102000	15462	52
103000	13462	56
104000	14525	60
105000	14525	53
106000	14525	48
107000	13462	56
108000	15462	56
109000	15462	54
110000	16590	50
111000	14420	57
112000	14525	58
113000	14525	53
114000	14525	63
115000	15462	55
116000	16590	55
117000	13504	56
118000	13462	54
119000	14525	53
120000	14420	55
121000	13504	58
122000	15462	53
123000	16485	54
124000	15462	51
125000	14525	54
126000	13462	61
127000	14420	60
128000	14525	56
129000	15462	69
130000	15462	57
131000	15462	55
132000	13462	53
133000	14525	56
134000	14525	58
135000	14525	51
136000	13504	55
137000	16485	59
138000	15462	54
139000	14525	53
140000	14525	57
141000	14525	55
142000	13483	50
143000	14420	51
144000	15462	62
145000	15462	53
146000	15569	50
147000	15462	52
148000	14420	57
149000	13504	60
150000	14420	54
151000	15462	61
152000	13483	52
153000	16590	50
154000	14525	56
155000	13462	57
156000	14525	54
157000	13483	57
158000	15462	61
159000	15462	52
160000	15462	52
161000	13397	329
162000	14525	499
163000	13483	492
164000	14420	494
165000	15462	499
166000	15462	274
167000	16485	490
168000	13397	495
169000	13504	496
170000	13504	499
171000	15462	501
172000	16590	493
173000	14525	278
174000	14420	491
175000	14525	495
176000	14420	496
177000	16590	495
178000	15462	273
179000	13504	494
180000	14420	493
181000	13462	498
182000	13462	499
183000	15462	497
184000	15462	492
185000	14525	274
186000	14420	496
187000	14525	495
188000	13504	494
189000	16485	497
190000	15462	491
191000	15462	273
192000	13483	496
193000	14525	493
194000	14525	495
195000	14525	492
196000	15462	503
197000	15462	272
198000	15462	491
199000	14525	494
200000	13462	496
201000	14525	501
202000	14420	272
203000	16590	499
204000	16590	494
205000	14525	497
206000	14525	497
207000	14420	501
208000	15462	496
209000	15462	494
210000	15462	272
211000	16590	493
212000	14525	493
213000	13504	490
214000	13504	275
215000	14420	494
216000	14420	498
217000	15527	496
218000	15462	492
219000	15462	493
220000	14420	274
221000	14525	494
222000	14525	495
223000	14525	494
224000	14420	499
225000	13462	495
226000	15462	273
227000	16590	489
228000	14420	492
229000	13504	495
230000	14420	497
231000	14525	279
232000	15548	497
233000	15569	489
234000	14420	497
235000	14525	496
236000	13483	502
237000	16485	495
238000	15462	271
239000	15462	491
240000	15462	488
241000	14420	494
242000	14525	279
243000	14525	495
244000	15462	503
245000	15462	493
246000	16485	493
247000	13504	495
248000	14525	497
249000	13504	274
250000	15462	499
251000	15462	492
252000	15462	493
253000	14420	495
254000	14420	494
255000	14525	274
256000	13504	493
257000	13504	503
258000	15527	491
259000	15462	491
260000	15462	273
261000	15548	490
262000	14525	497
263000	14525	491
264000	14525	496
265000	14420	500
266000	15462	274
267000	15462	492
268000	14525	494
269000	14525	496
270000	14525	495
271000	14420	498
272000	15462	277
273000	15462	495
274000	15527	495
275000	14420	498
276000	14525	495
277000	13462	491
278000	14525	498
279000	15462	273
280000	16485	491
281000	14525	494
282000	14525	499
283000	14525	496
284000	14420	495
285000	15462	278
286000	15462	492
287000	16590	489
288000	15462	497
289000	13397	274
290000	14525	489
291000	13483	500
292000	14420	493
293000	14420	494
294000	15462	496
295000	15462	273
296000	15462	492
297000	16485	489
298000	14525	498
299000	13504	276
300000	13462	491
301000	15462	497
302000	15527	494
303000	14525	493
304000	14525	500
305000	15462	504
306000	15462	493
307000	15462	272
308000	14420	498
309000	14525	494
310000	14525	491
311000	16485	501
312000	15462	493
313000	14420	275
314000	14525	498
315000	14525	492
316000	15462	503
317000	16590	489
318000	14441	495
319000	13397	496
320000	13504	272
321000	14525	492
322000	13504	499
323000	14420	491
324000	13483	498
325000	16590	275
326000	13462	494
327000	14525	497
328000	14420	491
329000	13462	493
330000	13462	271
331000	14525	494
332000	13483	503
333000	15462	495
334000	15462	494
335000	13483	491
336000	13483	278
337000	14525	493
338000	14525	493
339000	14420	494
340000	15462	497
341000	16590	271
342000	16590	491
343000	13397	500
344000	14525	495
345000	14525	265
346000	14525	494
347000	13504	502
348000	16485	496
349000	15462	488
350000	15462	492
351000	13397	274
352000	14420	491
353000	14525	494
354000	14525	496
355000	14420	496
356000	15548	496
357000	15462	271
358000	15569	490
359000	15527	267
360000	15462	492
361000	14525	498
362000	14525	496
363000	14525	492
364000	15462	502
365000	15462	492
366000	16590	270
367000	13462	494
368000	13504	496
369000	14525	499
370000	14420	495
371000	14420	496
372000	15462	272
373000	16590	489
374000	15527	492
375000	15462	271
376000	14525	493
377000	14420	491
378000	13504	493
379000	13462	276
380000	13483	492
381000	14525	500
382000	15462	493
383000	15462	493
384000	15527	269
385000	14525	492
386000	13483	498
387000	13504	492
388000	14525	493
389000	14525	272
390000	13504	496
391000	15462	495
392000	15462	492
393000	15462	273
394000	14420	496
395000	13504	492
396000	13483	499
397000	13462	498
398000	16590	491
399000	15462	272
400000	15462	491
401000	13397	493
402000	14420	497
403000	14525	496
404000	13483	274
405000	15462	721
406000	15462	273
407000	16485	490
408000	13397	494
409000	13483	272
410000	14525	494
411000	13504	490
412000	14525	492
413000	14420	496
414000	16590	273
415000	15462	492
416000	14420	495
417000	14525	497
418000	14525	497
419000	13504	499
420000	15462	274
421000	15462	492
422000	15462	491
423000	16590	490
424000	14525	498
425000	13504	272
426000	14420	492
427000	14420	497
428000	16485	493
429000	16485	273
430000	13397	494
431000	14420	493
432000	14525	492
433000	13504	504
434000	15462	496
435000	15462	272
436000	15462	493
437000	15527	491
438000	14420	493
439000	13504	273
440000	14525	499
441000	13483	496
442000	15548	493
443000	16590	489
444000	15462	494
445000	13504	275
446000	14420	488
447000	14525	491
448000	14525	272
449000	14525	495
450000	14525	501
451000	13504	492
452000	15462	489
453000	16485	274
454000	13462	497
455000	14525	496
456000	13462	502
457000	15462	493
458000	15462	491
459000	16590	493
460000	14525	500
461000	14525	274
462000	14420	495
463000	15462	500
464000	15462	492
465000	15462	493
466000	14420	497
467000	13462	276
468000	13504	497
469000	15462	501
470000	16590	489
471000	15462	495
472000	15462	487
473000	15462	269
474000	14420	496
475000	14525	497
476000	14525	495
477000	13462	501
478000	15548	271
479000	15462	495
480000	13397	493
481000	13462	497
482000	14525	497
483000	13462	495
484000	15462	496
485000	15548	276
486000	15462	490
487000	14525	495
488000	14525	495
489000	14525	494
490000	14420	271
491000	14420	495
492000	15462	495
493000	16485	488
494000	15462	275
495000	14525	494
496000	14525	494
497000	14525	498
498000	13504	495
499000	15462	498
500000	16590	268
501000	15462	492
502000	15462	493
503000	14420	495
504000	14420	497
505000	14420	273
506000	14525	497
507000	15462	493
508000	15462	492
509000	14420	498
510000	14525	497
511000	13462	272
512000	13504	496
513000	15462	495
514000	15462	491
515000	16590	269
516000	13483	491
517000	13483	495
518000	13504	492
519000	14525	277
520000	14525	493
521000	13462	491
522000	13504	494
523000	13462	499
524000	15462	274
525000	13397	493
526000	14420	497
527000	14525	497
528000	14420	489
529000	15462	501
530000	15462	492
531000	15569	274
532000	14420	495
533000	14525	493
534000	13462	496
535000	14525	270
536000	15462	723
537000	15462	269
538000	15527	489
539000	15569	493
540000	16590	272
541000	14525	492
542000	14525	497
543000	14420	488
544000	13504	273
545000	14525	490
546000	15462	503
547000	15462	492
548000	15462	491
549000	15548	272
550000	14525	493
551000	13483	501
552000	14525	493
553000	14420	490
554000	15462	498
555000	15462	272
556000	15462	491
557000	13397	491
558000	13504	496
559000	14525	274
560000	15462	498
561000	15569	488
562000	15462	492
563000	14525	278
564000	13462	495
565000	14525	492
566000	13483	488
567000	13462	276
568000	16485	494
569000	15462	493
570000	14525	493
571000	14420	494
572000	14525	273
573000	13483	496
574000	13483	499
575000	15462	494
576000	15462	494
577000	15462	268
578000	15462	492
579000	14525	497
580000	14525	499
581000	13462	496
582000	14420	496
583000	16590	491
584000	15462	277
585000	13397	492
586000	14525	495
587000	14525	500
588000	13483	499
589000	15462	495
590000	14441	496
591000	15548	270
592000	13504	493
593000	13462	498
594000	14525	493
595000	14525	268
596000	13504	492
597000	15569	498
598000	15569	492
599000	16590	493
600000	14525	277
601000	14525	497
602000	14525	491
603000	13504	492
604000	16590	499
605000	15462	495
606000	14525	274
607000	13504	494
608000	13483	489
609000	14525	495
610000	13483	497
611000	15548	497
612000	15462	269
613000	15462	493
614000	15462	267
615000	13397	493
616000	13397	488
617000	14420	492
618000	14525	499
619000	14525	271
620000	15462	502
621000	16590	493
622000	12355	495
623000	14420	490
624000	14525	273
625000	14525	496
626000	14525	492
627000	13462	492
628000	14525	498
629000	15462	271
630000	16485	495
631000	15462	490
632000	15462	268
633000	13397	492
634000	14420	492
635000	14420	499
636000	14420	500
637000	15462	495
638000	15462	272
639000	13504	492
640000	14525	495
641000	14525	493
642000	13483	496
643000	15462	503
644000	13483	271
645000	15462	493
646000	15527	488
647000	14525	272
648000	14420	278
649000	14525	494
650000	14525	486
651000	13462	272
652000	15462	721
653000	15462	269
654000	15462	493
655000	15462	492
656000	14525	275
657000	14525	493
658000	14525	495
659000	14525	492
660000	13462	270
661000	13504	500
662000	15462	494
663000	16590	489
664000	13397	496
665000	14525	499
666000	14525	497
667000	14420	274
668000	15462	496
669000	15462	492
670000	15462	492
671000	13397	492
672000	14420	273
673000	13504	491
674000	14525	496
675000	14525	490
676000	14525	502
677000	15462	274
678000	15462	493
679000	13397	494
680000	14525	494
681000	13462	496
682000	14420	501
683000	15462	274
684000	15462	493
685000	14525	492
686000	14525	496
687000	13504	498
688000	13462	271
689000	14420	497
690000	16485	496
691000	15462	495
692000	13397	492
693000	14420	270
694000	13462	497
695000	14420	503
696000	15462	494
697000	15462	492
698000	15462	493
699000	14525	492
700000	14525	274
701000	14525	496
702000	15462	501
703000	15462	491
704000	15462	492
705000	15569	267
706000	14420	496
707000	14525	492
708000	14525	496
709000	13504	498
710000	15462	273
711000	15462	493
712000	15462	494
713000	16485	488
714000	14525	500
715000	13504	500
716000	15548	276
717000	15462	494
718000	14420	498
719000	13483	497
720000	14525	493
721000	13462	496
722000	15462	495
723000	15462	273
724000	15548	490
725000	13397	496
726000	14525	498
727000	14525	270
728000	14525	492
729000	14420	498
730000	16590	491
731000	16590	492
732000	15462	272
733000	14420	494
734000	14525	495
735000	13462	498
736000	13462	499
737000	15462	492
738000	16485	274
739000	15462	491
740000	13504	497
741000	13462	496
742000	13483	495
743000	13483	498
744000	15462	274
745000	15462	492
746000	13397	492
747000	13504	496
748000	14525	497
749000	14525	503
750000	15462	493
751000	15462	268
752000	15462	492
753000	11418	492
754000	14420	498
755000	14525	274
756000	14420	491
757000	15462	502
758000	15462	493
759000	15462	491
760000	16590	271
761000	13504	495
762000	14525	494
763000	13462	494
764000	14420	495
765000	15462	275
766000	15527	489
767000	16590	492
768000	12355	497
769000	14525	499
770000	13462	505
771000	15462	271
772000	16590	493
773000	16485	493
774000	14525	495
775000	13504	496
776000	14420	502
777000	15462	493
778000	15462	272
779000	14420	496
780000	14525	494
781000	14525	494
782000	13462	495
783000	15462	500
784000	15462	272
785000	13397	496
786000	14420	493
787000	14525	498
788000	14420	499
789000	15462	499
790000	15462	269
791000	15462	492
792000	15462	491
793000	14525	491
794000	14525	276
795000	14525	496
796000	13483	503
797000	15462	490
798000	16485	494
799000	16590	490
800000	14420	277
801000	14525	500
802000	14420	496
803000	16590	499
804000	15462	491
805000	14420	496
806000	13483	498
807000	14525	493
808000	14525	269
809000	13462	500
810000	15462	490
811000	16590	488
812000	15548	273
813000	16590	488
814000	14525	497
815000	14525	495
816000	14525	270
817000	14525	490
818000	14420	489
819000	14441	499
820000	15462	269
821000	15462	491
822000	15462	492
823000	14525	274
824000	13462	494
825000	14525	493
826000	15462	506
827000	15548	489
828000	14525	493
829000	13483	274
830000	14525	500
831000	14525	487
832000	14420	498
833000	16590	496
834000	16485	493
835000	15462	270
836000	13504	494
837000	13462	500
838000	14420	494
839000	14420	495
840000	15462	497
841000	15462	273
842000	15527	490
843000	15462	492
844000	13292	492
845000	14525	271
846000	14525	493
847000	14525	494
848000	14525	497
849000	14420	495
850000	16485	277
851000	16590	491
852000	13397	496
853000	14525	495
854000	14525	494
855000	14525	274
856000	14525	492
857000	13483	496
858000	15462	494
859000	16590	493
860000	15569	271
861000	13504	497
862000	14525	498
863000	14420	496
864000	15462	498
865000	15462	491
866000	15462	273
867000	13462	490
868000	14525	496
869000	14525	493
870000	14420	494
871000	14420	269
872000	15462	500
873000	15462	491
874000	15462	493
875000	16590	270
876000	13397	492
877000	13462	495
878000	14420	493
879000	15462	506
880000	16590	495
881000	15462	272
882000	14525	494
883000	14525	494
884000	14525	496
885000	14525	490
886000	13462	272
887000	15462	497
888000	15462	492
889000	13462	494
890000	14525	502
891000	14525	490
892000	14420	499
893000	15462	276
894000	15462	489
895000	14525	497
896000	14525	497
897000	14525	503
898000	15462	492
899000	15462	273
900000	13504	491
901000	14525	492
902000	14525	493
903000	14420	496
904000	14525	271
905000	14525	489
906000	13504	498
907000	15462	492
908000	16590	275
909000	15462	490
910000	13397	493
911000	14525	269
912000	13483	494
913000	14525	496
914000	14420	498
915000	15462	499
916000	15569	492
917000	13397	273
918000	14525	497
919000	14525	497
920000	14420	500
921000	16590	493
922000	15462	494
923000	11439	491
924000	14525	500
925000	14525	272
926000	14420	492
927000	15548	500
928000	15462	491
929000	13483	494
930000	14525	272
931000	13462	496
932000	13462	493
933000	14420	494
934000	14525	497
935000	16590	273
936000	15462	491
937000	14525	495
938000	14525	496
939000	14525	493
940000	14420	500
941000	15548	275
942000	15462	491
943000	15462	493
944000	14420	495
945000	14525	493
946000	14525	273
947000	14525	492
948000	14525	491
949000	13462	272
950000	15462	498
951000	16590	487
952000	15462	491
953000	13397	497
954000	14525	278
955000	14525	498
956000	14420	496
957000	15462	496
958000	15462	492
959000	15462	491
960000	14420	278
961000	14525	495
962000	13462	493
963000	14420	496
964000	15569	498
965000	13483	495
966000	14525	497
967000	14525	276
968000	13462	499
969000	15462	496
970000	15462	492
971000	15462	491
972000	14420	498
973000	14525	274
974000	14525	493
975000	13462	492
976000	13504	497
977000	15462	494
978000	15462	273
979000	15462	492
980000	13504	499
981000	14525	495
982000	14525	493
983000	14420	499
984000	15462	271
985000	16485	493
986000	16485	493
987000	14525	497
988000	14525	497
989000	14525	492
990000	13462	278
991000	16485	495
992000	15462	491
993000	15527	490
994000	11397	274
995000	13462	494
996000	14420	495
997000	13483	503
998000	15462	491
999000	15462	492
1000000	15462	273
1001000	14525	493
1002000	14525	495
1003000	14525	499
1004000	14420	490
1005000	16590	499
1006000	16590	272
1007000	15462	491
1008000	14525	493
1009000	14525	495
1010000	13462	499
1011000	15462	502
1012000	15527	273
1013000	11418	494
1014000	14525	499
1015000	14420	494
1016000	13483	491
1017000	13504	497
1018000	15462	276
1019000	15462	493
1020000	15462	492
1021000	15462	488
1022000	14420	277
1023000	14525	491
1024000	13483	498
1025000	15357	504
1026000	15462	488
1027000	16485	496
1028000	15527	272
1029000	14420	498
1030000	14525	495
1031000	14525	490
1032000	14525	491
1033000	15462	505
1034000	16590	494
1035000	15462	272
1036000	14525	491
1037000	13504	496
1038000	13483	496
1039000	14525	272
1040000	15462	725
